DAH1036 41.733214 004.666667
DLA2746 41.009253 -000.285164
TAR515 40.946667 005.690000
PGA920 41.295300 002.085239
PGA718 41.295300 002.085239
ELG3703 41.152983 003.756933
IBE3669 40.902425 -001.298311
IBE4627 41.152983 003.756933
IBE1609 41.979039 000.376447
DAH1004 39.649336 004.173314
LGL3594 42.560278 004.997500
IBE1127 39.783158 -003.475389
PGA943 42.209167 004.000278
MAH581 41.733214 004.666667
ANS8683 42.750472 002.867139
BMA163 41.295300 002.085239
IBE3605 41.009253 -000.285164
IBE3641 41.295300 002.085239
RAM962 37.907550 -001.557572
AFR899L 43.020417 005.180528
IBE1257 40.354622 001.279908
OAL248 41.353889 -000.547617
IBE4188 42.774864 000.997303
IBE3966 40.946667 005.690000
TAP5205 41.009253 -000.285164
DAH1003 41.210272 003.173772
MPD470 41.022831 -002.376464
LDI175 38.360778 -002.352753
JKK108 39.674183 -000.207806
JKK2453 38.287572 -000.551472
BER1550 39.927447 003.114581
MON3379 41.733214 004.666667
MON727 39.833839 -000.004683
AZA020 41.152983 003.756933
CFG458 40.946667 005.690000
AZA061 41.295300 002.085239
IWD3501 41.149694 001.171122
BMI54C 41.543861 001.129775
AFR854 41.979039 000.376447
EAF451 42.435375 001.034356
LTU156 41.295300 002.085239
BAW82 37.949422 -000.016900
DAH1069 38.342111 001.917011
AZA874 36.833167 -002.259422
HLX3331 42.560278 004.997500
EZY1MU 42.616111 001.483611
SWR210J 41.295300 002.085239
AFR770 36.871111 -000.023611
HLF106 39.863514 004.217194
JKK3181 40.708725 001.231781
