KLM1664 42.616111 001.483611
VEX81J 42.616111 001.483611
RAM715 43.229832 005.665417
IBE1233 37.907550 -001.557572
IBE1122 39.674183 -000.207806
ANS8667 42.631119 -002.155386
ANS8427 38.268281 -000.570114
IBE1121 39.783158 -003.475389
ANS8190 40.383892 -002.522797
ANS8158 42.271922 -002.010997
ANS8748 41.353889 -000.547617
IBE4442 41.552925 000.648022
RYR4123 42.079722 004.415000
BAW477 42.435375 001.034356
DAH1002 38.480278 003.949722
IBE1123 39.783158 -003.475389
ANS8684 42.079722 004.415000
RAM731 41.947686 003.208858
IBE4184 42.435375 001.034356
IBE1253 38.360778 -002.352753
RYR9803 42.616111 001.483611
N110PR 41.149694 001.171122
HHI2253 40.011250 004.251789
HHI2355 40.011250 004.251789
N535CE 41.149694 001.171122
TAR8540 38.915469 001.470411
SLR2564 39.350814 -000.007878
SLR6504 38.738308 -000.998675
AMM619D 41.149694 001.171122
AFR895L 42.079722 004.415000
LIT413 43.056111 004.776944
RAM836 35.898611 000.138056
BAW2485 42.616111 001.483611
AFR2149 42.616111 001.483611
ANS8919 41.947686 003.208858
IBE4422 42.616111 001.483611
ANS8753 43.056111 004.776944
AFR224Y 42.616111 001.483611
PGA841 41.748011 000.318442
PGA815 40.872264 000.061556
AFR5906 42.750472 002.867139
AFR114R 42.616111 001.483611
AMM782D 41.051472 001.730400
LDA9226 40.385000 005.396667
TRA5132 42.616111 001.483611
BCS8435 41.323564 -002.629792
BER5175 39.863514 004.217194
CFG707 41.733214 004.666667
FUA1411 41.733214 004.666667
FUA1137 41.149694 001.171122
BAL014B 41.051472 001.730400
FUA1403 41.733214 004.666667
BER9579 39.863514 004.217194
DLH5859 42.079722 004.415000
BER1221 39.833839 -000.004683
CFG937 41.733214 004.666667
JKK665 39.674183 -000.207806
EDW4555 41.733214 004.666667
AZA075 41.152983 003.756933
AEA9312 41.149694 001.171122
CFG459 40.385000 005.396667
AEA9212 38.915469 001.470411
AEA9211 38.360778 -002.352753
MPD471 39.674183 -000.207806
TRA4836 39.863514 004.217194
TAP5731 40.872264 000.061556
MON3053 41.733214 004.666667
BER9143 40.385000 005.396667
XLA5117 41.733214 004.666667
CFG627 41.733214 004.666667
AZA051 41.733214 004.666667
AZA085 40.708725 001.231781
AEA9202 38.915469 001.470411
HLF869 42.209167 004.000278
AEF5413 40.708725 001.231781
JKK699 39.331406 003.432825
DLH4303 42.079722 004.415000
IWD3601 41.149694 001.171122
JKK123 40.708725 001.231781
JKK3143 41.149694 001.171122
BER9235 39.863514 004.217194
BER9725 41.733214 004.666667
BER9869 41.733214 004.666667
BER3017 39.863514 004.217194
BER6537 39.435186 002.758294
BER6801 39.863514 004.217194
JKK662 37.907550 -001.557572
BER9721 41.733214 004.666667
BER2059 39.833839 -000.004683
BER2026 38.915469 001.470411
BER8937 42.079722 004.415000
AEF5551 41.733214 004.666667
AEA347 39.863514 004.217194
BER5605 39.435186 002.758294
IWD9123 38.287572 -000.551472
BER6067 39.863514 004.217194
SWR195Z 42.079722 004.415000
JKK2417 41.152983 003.756933
TCW575 39.833839 -000.004683
JKK2458 39.674183 -000.207806
IWD9551 39.674183 -000.207806
IWD9147 40.946667 005.690000
PNR215 40.872264 000.061556
LTE354 41.733214 004.666667
DLH4317 42.079722 004.415000
SWR8599 41.733214 004.666667
HLF186 39.435186 002.758294
HLF542 39.863514 004.217194
HLF222 39.863514 004.217194
SWR1941 42.079722 004.415000
AEF5469 39.833839 -000.004683
HLF564 39.863514 004.217194
HLF382 39.863514 004.217194
HLF098 39.833839 -000.004683
HLF316 39.863514 004.217194
HLF462 40.011250 004.251789
HLF104 39.863514 004.217194
HLF946 39.435186 002.758294
HLF164 39.435186 002.758294
HLF168 39.863514 004.217194
